328799013,-1172318736,107060,-33887
328799005,-1172318735,106950,-37295
328799001,-1172318730,106810,-35688
328799051,-1172318470,107580,-43379
328799061,-1172318399,107000,-41879
328799088,-1172318380,107080,-41830
328799075,-1172318341,107860,-41845
328799069,-1172318337,108590,-32819
328798919,-1172318164,118530,-28383
328798898,-1172318236,119130,-29033
328798946,-1172318151,126210,-29820
328798941,-1172318013,133900,-35692
328798971,-1172318149,145230,-38837
328799112,-1172318335,151880,-37737
328799313,-1172318044,152170,-36410
328799536,-1172317795,151950,-37432
328799938,-1172316961,152760,-32917
328800186,-1172316251,153430,-34054
328800444,-1172315474,153860,-34055
328800682,-1172314732,154120,-35273
328801088,-1172313348,154570,-38053
328801326,-1172312466,154790,-37770
328801539,-1172311641,154720,-38783
328801761,-1172310738,154340,-38762
328802147,-1172309303,154660,-39253
328802423,-1172308491,154230,-39392
328802735,-1172307542,154330,-38439
328802935,-1172306686,154150,-38829
328802237,-1172306169,153910,-37928
328801573,-1172305871,153880,-39183
328801244,-1172306059,153620,-39459
328801004,-1172306619,153310,-39527
328800697,-1172307939,152520,-39300
328800440,-1172308700,151820,-38155
328800127,-1172309520,151800,-39370
328799876,-1172310270,151360,-39125
328799449,-1172311601,151120,-37413
328799208,-1172312336,151240,-34961
328798978,-1172313144,151910,-34337
328798757,-1172313881,151240,-33445
328798361,-1172315052,149690,-33143
328798092,-1172315804,150400,-31814
328797826,-1172316558,150460,-33303
328797393,-1172317379,151160,-33906
328796562,-1172317364,151390,-37619
328796079,-1172317091,151470,-33932
328795848,-1172316499,151730,-32782
328795999,-1172315789,152170,-32152
328796537,-1172314466,152480,-31690
328796848,-1172313729,152700,-34892
328797170,-1172312906,152670,-33672
328797429,-1172312263,153140,-37941
328797681,-1172311035,153700,-38053
328797914,-1172310319,153450,-38970
328798156,-1172309568,152990,-39360
328798347,-1172308798,152890,-38473
328798802,-1172307627,153050,-38472
328799065,-1172306806,153030,-38421
328799286,-1172306077,152990,-39470
328799548,-1172305288,153110,-39129
328799262,-1172304445,152860,-37902
328798721,-1172304083,152210,-39656
328798203,-1172303875,151590,-39427
328797869,-1172304052,151370,-39116
328797508,-1172305106,151990,-40889
328797292,-1172305897,151850,-39487
328797003,-1172306686,151470,-39329
328796757,-1172307530,151300,-39908
328796321,-1172308789,151320,-38436
328796081,-1172309504,151620,-39395
328795857,-1172310268,152050,-37332
328795638,-1172311009,152040,-38634
328795223,-1172312207,151990,-34934
328794980,-1172312944,151620,-38309
328794744,-1172313681,151740,-34955
328794502,-1172314405,151680,-35272
328794125,-1172315426,151440,-39907
328794282,-1172315861,152140,-39274
328794694,-1172316244,152590,-39918
328795170,-1172316563,152660,-39247
328796339,-1172317099,152010,-40204
328796988,-1172317533,151730,-40281
328797649,-1172317936,151020,-39891
328798514,-1172318259,150480,-39489
328798725,-1172318400,144860,-38568
328798745,-1172318373,139960,-39324
328798726,-1172318389,135720,-34249
328798786,-1172318242,135090,-28828
328798928,-1172317671,130700,-26402
328799002,-1172317519,128620,-25503
328798985,-1172317500,127850,-26170
328798983,-1172317514,126800,-26359
328798972,-1172317531,123570,-26101
328798974,-1172317532,121830,-24681
328798963,-1172317552,120100,-22504
328798965,-1172317580,118190,-21155
328798967,-1172317622,115680,-20633
328798974,-1172317636,114020,-21450
328799003,-1172317622,112560,-22817
328798931,-1172317935,110670,-29060
328798992,-1172318055,107760,-37169
328799001,-1172318054,106530,-38369
328799002,-1172318062,106270,-38840
328798992,-1172318078,106020,-38612
328798979,-1172318487,106310,-39211
328798887,-1172318732,105630,-39251
328798886,-1172318725,104890,-37565
328798883,-1172318732,104400,-38943
328798874,-1172318741,103830,-39037
328798866,-1172318738,103350,-38612
328798859,-1172318734,103100,-39271
328798876,-1172318728,103280,-42941
