330671338,-1171029139,103200,-35811,-35649,-37520
330671358,-1171029096,103740,-34320,-35570,-37831
330671366,-1171029046,103770,-31617,-34425,-37506
330671324,-1171029055,103440,-31227,-33326,-36442
330671307,-1171029090,104810,-34374,-36063,-38838
330671283,-1171028935,115270,-35954,-36583,-37830
330671308,-1171028622,129900,-33843,-35285,-37961
330671427,-1171028254,142770,-36333,-37122,-38361
330671493,-1171027847,143400,-36180,-37422,-39077
330671311,-1171027199,145730,-36477,-36674,-38594
330671094,-1171026119,147080,-36545,-37673,-39279
330670905,-1171024741,147510,-37400,-37737,-39761
330670817,-1171022846,148040,-34558,-37712,-39264
330670832,-1171021163,147570,-35449,-36940,-38227
330670886,-1171019437,147810,-37393,-35749,-36897
330670880,-1171017811,148300,-36000,-37099,-32880
330670857,-1171015515,148800,-35035,-37335,-26534
330670794,-1171013210,148680,-35310,-36204,-23606
330670797,-1171011372,148700,-35601,-37443,-21184
330670762,-1171009665,148520,-35623,-37434,-21154
330670707,-1171006885,148450,-34332,-36172,-25255
330670668,-1171004970,148660,-35594,-36696,-25253
330670590,-1171002781,148690,-33410,-35974,-26024
330670215,-1171001903,148760,-35527,-36311,-25387
330668599,-1171001662,147800,-35270,-36678,-24553
330666761,-1171001849,147390,-35428,-36471,-25929
330665086,-1171002016,147310,-33498,-34751,-37430
330664343,-1171002403,147600,-33539,-35716,-38458
330664132,-1171004281,148160,-32241,-35332,-36460
330664310,-1171005970,147410,-32529,-35235,-37918
330664405,-1171007657,147470,-29758,-35938,-31442
330664495,-1171009438,146940,-29097,-34427,-22787
330664538,-1171011399,146990,-32537,-36078,-16813
330664577,-1171013493,146600,-34520,-34947,-18948
330664581,-1171015130,147030,-32160,-34807,-22294
330664594,-1171016791,147860,-34039,-35523,-27491
330664650,-1171019345,147360,-33411,-34074,-30704
330664747,-1171021167,147700,-33581,-36064,-37553
330664792,-1171022934,148190,-34106,-35016,-37707
330664812,-1171024727,148170,-34156,-33989,-36639
330664456,-1171027017,147520,-35085,-36450,-33430
330663582,-1171027452,148490,-35367,-35945,-34109
330662372,-1171027504,147770,-34009,-35045,-33737
330661093,-1171027396,146370,-34422,-36145,-32943
330659085,-1171027329,146320,-35917,-36167,-33756
330658485,-1171026681,147540,-35289,-35925,-35235
330658251,-1171025231,149060,-36550,-37672,-30446
330658302,-1171023533,149390,-35578,-35785,-28331
330658378,-1171020637,149660,-35707,-36417,-26548
330658352,-1171019015,149840,-35034,-35655,-24442
330658357,-1171017358,149590,-32438,-34303,-23990
330658338,-1171015704,149500,-28980,-37711,-25256
330658302,-1171012952,150000,-28841,-36526,-30426
330658258,-1171011358,150180,-28803,-37246,-24478
330658231,-1171009677,150250,-31468,-36233,-27983
330658204,-1171008124,150210,-36538,-37365,-31803
330658161,-1171005349,150580,-35545,-39785,-39807
330658125,-1171003422,150640,-34993,-37483,-38704
330657814,-1171002295,150690,-36440,-37609,-38490
330656988,-1171002074,149600,-36228,-37602,-40976
330655071,-1171002156,147990,-37544,-36623,-39095
330653752,-1171002270,147580,-37503,-37429,-41294
330652341,-1171002472,147110,-34471,-34491,-37457
330651689,-1171003060,147080,-34807,-35840,-37525
330651678,-1171004520,146740,-35364,-36696,-34682
330651848,-1171006325,146970,-34163,-35227,-37835
330651955,-1171008273,146640,-34373,-35019,-30845
330652000,-1171010023,146930,-34056,-35415,-31145
330652041,-1171012771,147370,-33711,-35819,-29821
330652106,-1171014845,147710,-33954,-32414,-30264
330652164,-1171016478,147350,-32331,-31098,-32603
330652179,-1171018169,148070,-33475,-26018,-29691
330652211,-1171020799,148530,-33065,-23051,-31984
330652270,-1171022352,148540,-33652,-24592,-34903
330652283,-1171024391,148300,-34313,-29315,-31615
330652216,-1171025992,147920,-32679,-35037,-36027
330651727,-1171028027,147690,-35478,-36997,-39063
330650996,-1171028315,147110,-35473,-38274,-42727
330649871,-1171028307,145890,-34634,-37859,-39145
330648745,-1171028216,146130,-35517,-36358,-39447
330646762,-1171028103,147510,-36728,-37238,-37219
330646069,-1171027504,148460,-35039,-33317,-37222
330645775,-1171026357,149890,-36019,-27885,-36706
330645761,-1171024849,149700,-36348,-23883,-36333
330645829,-1171022659,149290,-36688,-30338,-36187
330645854,-1171020462,149090,-42266,-30177,-34542
330645869,-1171018783,148910,-37290,-37863,-34424
330645892,-1171017065,148700,-34623,-36976,-38727
330645879,-1171014145,148320,-36431,-43999,-34536
330645834,-1171011722,148530,-36427,-41562,-35765
330645787,-1171009715,148930,-34912,-37680,-38622
330645745,-1171007899,149420,-34348,-36425,-38593
330645654,-1171005089,149280,-36702,-37075,-37715
330645593,-1171003434,149130,-36439,-38640,-40133
330645609,-1171002449,149050,-33821,-35179,-37590
330646324,-1171003178,147930,-35984,-37550,-38355
330647835,-1171004951,145170,-35153,-37871,-39679
330648996,-1171006248,143220,-36034,-37926,-39275
330650370,-1171007810,140550,-35034,-36936,-38900
330651704,-1171009265,139650,-36218,-37077,-38726
330653344,-1171010836,139150,-36167,-38116,-39431
330654653,-1171012126,137010,-35221,-37134,-32055
330656009,-1171013601,134390,-31767,-35913,-27060
330657342,-1171015050,133350,-31212,-37027,-25025
330658935,-1171016727,131700,-31359,-36316,-23448
330660166,-1171017929,130250,-32635,-36626,-24870
330661343,-1171019190,129050,-34986,-36385,-26552
330662346,-1171020274,127310,-35309,-36330,-30919
330664112,-1171022231,125450,-35641,-36126,-38223
330665241,-1171023482,123580,-35166,-37924,-38678
330666293,-1171024627,121090,-34505,-36419,-39963
330667145,-1171025683,120200,-34542,-35600,-38167
330668594,-1171027442,118120,-34903,-36573,-37843
330669365,-1171028265,118560,-34840,-36009,-38640
330669825,-1171028597,119210,-34462,-35775,-37805
330669940,-1171028631,119290,-35282,-37401,-38468
330669867,-1171028598,116230,-34351,-35724,-39118
330669867,-1171028592,114570,-35298,-36477,-37462
330669865,-1171028570,112670,-35028,-37111,-39050
330669832,-1171028549,109850,-36091,-37202,-38682
330669805,-1171028550,107310,-35896,-35316,-38320
330669791,-1171028556,104730,-35983,-36512,-38653
330669751,-1171028581,104190,-35434,-35678,-39727
330669716,-1171028584,103900,-33605,-37654,-39114
330669732,-1171028581,103780,-38628,-37411,-40754
330669738,-1171028570,103670,-35772,-37519,-41621
330669723,-1171028574,103200,-37252,-37766,-41573
330669721,-1171028563,102940,-35512,-37921,-41284
330669737,-1171028549,102720,-34361,-33903,-37079
330669706,-1171028518,102600,-35054,-37016,-41252
330669699,-1171028528,103110,-41752,-41926,-45796
330669707,-1171028528,103420,-41029,-43806,-45616
