19241,20061,23261
19240,20064,23278
19251,20047,23242
19238,20069,23246
19261,20057,23253
19258,20056,23254
19240,20068,23262
19240,20062,23255
19240,20054,23264
19240,20055,23257
19240,20081,23249
19241,20055,23250
19241,20055,23256
19241,20055,23256
19241,20056,23255
19241,20056,23256
19241,20056,23256
19241,20056,23256
19241,20056,23256
19241,20056,23256
19241,20056,23275
19241,20056,23256
19241,20055,23256
19241,20056,23256
19241,20056,23256
19241,20056,23256
19241,20056,23256
19257,20052,23256
19241,20056,23256
19241,20055,23255
19240,20055,23255
19240,20055,23255
19240,20055,23254
19240,20054,23254
19240,20054,23254
19239,20054,23254
19239,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20052,23252
19237,20078,23252
19237,20081,23256
19237,20077,23250
19237,20052,23252
19237,20052,23252
19237,20053,23252
19237,20052,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19261,20053,23253
19238,20053,23253
19238,20054,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20053,23253
19238,20052,23252
19237,20052,23252
19237,20052,23252
19237,20052,23252
19237,20052,23251
19237,20051,23251
19237,20051,23251
19236,20051,23257
19237,20051,23251
19237,20051,23251
19237,20052,23253
19237,20052,23252
19237,20052,23252
19237,20052,23252
19238,20053,23252
19238,20053,23253
19238,20053,23253
19238,20057,23253
19239,20054,23253
19239,20054,23263
19239,20054,23254
19239,20073,23251
19240,20045,23253
19240,20061,23277
19233,20051,23269
19261,20061,23280
19261,20061,23276
19250,20046,23261
19230,20061,23275
19252,20061,23256
19261,20061,23247
19222,20064,23263
19261,20061,23247
19261,20061,23275
19248,20080,23252
