328799013,-1172318736,107060,-33888,-35779,-35119
328799005,-1172318735,106950,-37277,-37183,-38168
328799001,-1172318730,106810,-43342,-43444,-46585
328799051,-1172318470,107580,-44253,-44328,-47672
328799061,-1172318399,107000,-41609,-43208,-47004
328799088,-1172318380,107080,-41795,-43573,-47107
328799075,-1172318341,107860,-43058,-43303,-47914
328799069,-1172318337,108590,-41452,-41187,-43884
328798919,-1172318164,118530,-39838,-40068,-42940
328798898,-1172318236,119130,-39179,-40061,-42516
328798946,-1172318151,126210,-38890,-39566,-42726
328798941,-1172318013,133900,-38789,-39875,-42947
328798971,-1172318149,145230,-38810,-40506,-43678
328799112,-1172318335,151880,-40147,-40691,-43441
328799313,-1172318044,152170,-39216,-40689,-43280
328799536,-1172317795,151950,-39814,-40530,-43355
328799938,-1172316961,152760,-39348,-40421,-43212
328800186,-1172316251,153430,-37966,-39692,-41733
328800444,-1172315474,153860,-38562,-39750,-42836
328800682,-1172314732,154120,-39283,-39459,-42104
328801088,-1172313348,154570,-37845,-40112,-42157
328801326,-1172312466,154790,-37744,-39498,-42723
328801539,-1172311641,154720,-38756,-39627,-42451
328801761,-1172310738,154340,-38795,-40193,-42890
328802147,-1172309303,154660,-39228,-40110,-43153
328802423,-1172308491,154230,-39092,-40085,-42909
328802735,-1172307542,154330,-38887,-40475,-42053
328802935,-1172306686,154150,-39482,-39637,-42873
328802237,-1172306169,153910,-37904,-39180,-42573
328801573,-1172305871,153880,-39157,-39376,-43380
328801244,-1172306059,153620,-39432,-40294,-42888
328801004,-1172306619,153310,-39851,-40618,-43408
328800697,-1172307939,152520,-39636,-40167,-43651
328800440,-1172308700,151820,-38365,-38453,-42653
328800127,-1172309520,151800,-39588,-39819,-42747
328799876,-1172310270,151360,-39088,-40871,-42542
328799449,-1172311601,151120,-39235,-40437,-42310
328799208,-1172312336,151240,-39953,-40128,-42643
328798978,-1172313144,151910,-38538,-39293,-41982
328798757,-1172313881,151240,-38189,-39904,-43335
328798361,-1172315052,149690,-39403,-40185,-42854
328798092,-1172315804,150400,-38472,-40226,-43862
328797826,-1172316558,150460,-38975,-39246,-41378
328797393,-1172317379,151160,-37605,-36903,-39834
328796562,-1172317364,151390,-37766,-38018,-38838
328796079,-1172317091,151470,-39962,-39542,-42920
328795848,-1172316499,151730,-39598,-40259,-42524
328795999,-1172315789,152170,-39252,-39245,-43269
328796537,-1172314466,152480,-38943,-39638,-43267
328796848,-1172313729,152700,-38836,-38996,-43561
328797170,-1172312906,152670,-39352,-39726,-43649
328797429,-1172312263,153140,-39196,-39980,-43557
328797681,-1172311035,153700,-37899,-39967,-42771
328797914,-1172310319,153450,-38944,-40243,-42930
328798156,-1172309568,152990,-38678,-40143,-44059
328798347,-1172308798,152890,-38445,-39368,-43556
328798802,-1172307627,153050,-39200,-40354,-43253
328799065,-1172306806,153030,-38394,-39013,-43013
328799286,-1172306077,152990,-39835,-39292,-43848
328799548,-1172305288,153110,-39051,-39680,-42620
328799262,-1172304445,152860,-39284,-39102,-43516
328798721,-1172304083,152210,-39617,-40421,-44019
328798203,-1172303875,151590,-40185,-40337,-43830
328797869,-1172304052,151370,-39192,-40442,-43783
328797508,-1172305106,151990,-40730,-41175,-44207
328797292,-1172305897,151850,-39732,-39771,-40962
328797003,-1172306686,151470,-39394,-40668,-43738
328796757,-1172307530,151300,-39837,-40583,-42653
328796321,-1172308789,151320,-39820,-40074,-43008
328796081,-1172309504,151620,-39148,-39891,-43460
328795857,-1172310268,152050,-38974,-40124,-44078
328795638,-1172311009,152040,-39722,-40420,-42563
328795223,-1172312207,151990,-37943,-40014,-42533
328794980,-1172312944,151620,-39493,-40061,-43333
328794744,-1172313681,151740,-38547,-39705,-42822
328794502,-1172314405,151680,-38846,-39998,-43094
328794125,-1172315426,151440,-40051,-40299,-43928
328794282,-1172315861,152140,-39568,-40634,-44068
328794694,-1172316244,152590,-39522,-40343,-44442
328795170,-1172316563,152660,-39508,-40084,-43994
328796339,-1172317099,152010,-39897,-40814,-44649
328796988,-1172317533,151730,-40610,-41468,-43677
328797649,-1172317936,151020,-39784,-40641,-44587
328798514,-1172318259,150480,-40555,-40847,-44661
328798725,-1172318400,144860,-40140,-39701,-44251
