328798746,-1172318988,109090,-35623,-36000,-35750
328798755,-1172319005,108520,-36654,-35027,-37035
328798770,-1172319009,107860,-37277,-38211,-41822
328798889,-1172318768,108100,-37284,-37732,-25768
328798923,-1172318558,107470,-35047,-34395,-29391
328798920,-1172318552,107760,-34824,-34256,-28476
328798892,-1172318542,108050,-33159,-33802,-28515
328798908,-1172318581,109270,-35310,-36714,-20816
328798834,-1172318597,120010,-34119,-34211,-23870
328798690,-1172318412,127330,-35210,-35003,-29445
328798509,-1172318230,134060,-34778,-34476,-29340
328798235,-1172318013,141690,-35021,-35193,-33105
328797909,-1172317693,149940,-34950,-27048,-34761
328798038,-1172317066,150710,-30275,-23927,-26713
328798168,-1172316484,151020,-25359,-20259,-28188
328798478,-1172315602,150740,-26886,-23335,-24936
328798893,-1172314512,150130,-31094,-27635,-34526
328799156,-1172313728,150590,-32989,-30096,-37901
328799455,-1172312978,150470,-34258,-32280,-31546
328799730,-1172312207,150570,-29946,-32567,-33236
328800170,-1172310833,150650,-32367,-25729,-32149
328800423,-1172310006,150410,-35006,-34749,-36326
328800164,-1172309506,150390,-34432,-35131,-35822
328799719,-1172309269,150420,-34638,-30990,-34953
328798597,-1172308761,150020,-35269,-36026,-36395
328798173,-1172308693,149390,-36919,-32405,-30348
328797833,-1172309090,148990,-33786,-36815,-30702
328797621,-1172309721,148920,-31053,-39314,-28905
328797293,-1172311091,149160,-34702,-31719,-33268
328797078,-1172311926,149490,-35962,-32727,-33190
328796862,-1172312696,149380,-32297,-30446,-31083
328796626,-1172313452,149330,-34866,-30093,-33089
328796270,-1172314686,149750,-28248,-22318,-29484
328796043,-1172315462,150300,-32838,-22718,-33424
328795776,-1172316137,150530,-34635,-34132,-34186
328795280,-1172316546,150420,-34896,-34205,-34203
328794457,-1172316371,150610,-34877,-34753,-35250
328793882,-1172315960,150830,-35344,-29462,-28903
328793442,-1172315395,150820,-33015,-26387,-30380
328793489,-1172314725,151210,-36024,-29532,-36208
328793950,-1172313411,150710,-36829,-36459,-33959
328794276,-1172312603,150290,-37612,-31993,-34007
328794562,-1172311808,149770,-36055,-31735,-33947
328794810,-1172311012,150340,-36277,-35511,-35789
328795239,-1172309729,151140,-38793,-33816,-34688
328795488,-1172308987,151340,-35859,-28145,-34527
328795774,-1172308043,151520,-34323,-29461,-34269
328795948,-1172307377,151400,-36008,-35916,-35167
328796242,-1172307514,151180,-35933,-36609,-33566
328796348,-1172308132,150240,-35635,-32794,-34338
328796376,-1172308910,149510,-34131,-32000,-35213
328796495,-1172309787,149980,-35392,-34531,-32292
328796854,-1172311206,150140,-37011,-33956,-34544
328797092,-1172312082,150460,-37224,-32358,-35532
328797320,-1172312850,151010,-35812,-31754,-34502
328797569,-1172313677,150290,-35288,-34233,-35984
328797978,-1172314948,149980,-32166,-30121,-35856
328798152,-1172315727,149720,-35115,-33104,-32970
328798377,-1172316629,149820,-35884,-29995,-29550
328798576,-1172317545,149010,-35259,-30162,-26965
328798648,-1172317700,143140,-34500,-32596,-29306
328798657,-1172317706,139390,-34903,-32280,-27657
328798635,-1172317692,134620,-35823,-31696,-25453
328798595,-1172317676,129830,-32180,-30260,-21315
328798590,-1172317658,121760,-34072,-33037,-16927
328798582,-1172317705,117270,-36987,-38423,-23994
328798575,-1172317747,116000,-38132,-37557,-18311
328798604,-1172317720,115680,-33803,-36822,-18460
328798597,-1172317735,115010,-31819,-34353,-18730
328798587,-1172317699,113450,-35841,-36520,-20926
328798575,-1172317680,111860,-35079,-35011,-35223
328798561,-1172317676,110120,-34854,-36023,-15143
328798569,-1172317666,107540,-33758,-34619,-34949
328798601,-1172317720,106030,-33188,-32624,-21220
328798614,-1172317729,105830,-32210,-33249,-20331
328798623,-1172317739,105840,-31213,-31361,-19761
328798635,-1172317724,105780,-32104,-31585,-20178
328798676,-1172317745,104820,-35317,-35256,-22456
328798779,-1172317841,103640,-34735,-34206,-21626
328799027,-1172318419,106100,-34154,-34340,-28816
328799516,-1172319484,110580,-34764,-34596,-33902
328799359,-1172319361,109040,-33511,-33916,-37275
328799245,-1172319254,109490,-32846,-33543,-35426
328799128,-1172319152,109550,-34190,-33949,-37221
328799051,-1172319079,109160,-41282,-41414,-45791
328799008,-1172319041,109120,-41752,-41795,-46260
328798973,-1172319009,109130,-41554,-41880,-45973
328798941,-1172318970,109110,-42016,-40282,-46609
328798902,-1172318935,109150,-35401,-35428,-35369
328798891,-1172318938,109240,-37568,-36878,-36393
328798877,-1172318944,109400,-36446,-35739,-36417
328798854,-1172318953,110030,-37127,-37071,-36265
